ZoneName	Time	SystemTime	Frame	Velocity	LaneName	LanePos	LaneIndex	LaneCount	LaneHeading	SpeedLimit	Steer	Accel	Brake	Gear	Horn	SubjectEngineRPM	SubjectHeading	SubjectPitch	SubjectRoll	SubjectX	SubjectY	SubjectZ	Signal	LatAccel	LongAccel	Collision	CollisionAngle	CollisionVelocity	VehAhead	HeadwayTime	HeadwayDist	TTC	TerrainType	CultureType	Slip	DigitalInputs	DigitalInputs2	ActiveTrigger	EntityName	DistToEntity	TimeToEntity	EntityVelocity	EntityAccel	EntityHeading	EntityX	EntityY	EntityZ	GrabData	
Unknown	0.98335	10/22/0116 08:04.12	00000059	0.003	Inter625t13-0	-0.089	1	2	0.000	11.111	-218.4	0.000	0.000	P	F	0.0	359.946	0.169	0.067	1503.499	523.205	0.020	-	0.004	0.003	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	1.98337	10/22/0116 08:04.13	00000119	0.001	Inter625t13-0	-0.087	1	2	0.000	11.111	-218.4	0.000	0.000	P	F	0.0	0.000	0.202	0.003	1503.501	523.207	0.026	-	-0.000	-0.001	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1111101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	2.98339	10/22/0116 08:04.14	00000179	0.000	Inter625t13-0	-0.087	1	2	0.000	11.111	-218.4	0.000	0.000	P	F	0.0	0.000	0.209	0.004	1503.501	523.207	0.028	-	-0.000	-0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	3.98341	10/22/0116 08:04.15	00000239	-0.000	Inter625t13-0	-0.087	1	2	0.000	11.111	-218.4	0.000	0.000	P	F	0.0	0.000	0.210	0.001	1503.501	523.207	0.028	-	-0.000	-0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	4.98343	10/22/0116 08:04.16	00000299	-0.000	Inter625t13-0	-0.087	1	2	0.000	11.111	-218.4	0.000	0.000	P	F	0.0	0.000	0.210	0.000	1503.501	523.207	0.028	-	-0.000	0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	5.98345	10/22/0116 08:04.17	00000359	-0.000	Inter625t13-0	-0.086	1	2	0.000	11.111	-218.4	0.000	0.000	P	F	0.0	0.000	0.209	0.000	1503.502	523.207	0.028	-	-0.000	0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1111101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	6.98347	10/22/0116 08:04.18	00000419	-0.000	Inter625t13-0	-0.086	1	2	0.000	11.111	-218.4	0.000	0.000	P	F	0.0	0.000	0.209	0.000	1503.502	523.207	0.028	-	-0.000	0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1111101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	7.98349	10/22/0116 08:04.19	00000479	-0.000	Inter625t13-0	-0.086	1	2	0.000	11.111	-218.4	0.000	0.000	P	F	0.0	0.000	0.209	-0.000	1503.502	523.207	0.028	-	-0.000	0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	8.98351	10/22/0116 08:04.20	00000539	-0.000	Inter625t13-0	-0.086	1	2	0.000	11.111	-218.4	0.000	0.000	P	F	0.0	0.000	0.209	-0.000	1503.502	523.207	0.028	-	-0.000	0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	9.98353	10/22/0116 08:04.21	00000599	-0.000	Inter625t13-0	-0.086	1	2	0.000	11.111	-218.4	0.000	0.000	P	F	0.0	0.000	0.209	-0.000	1503.502	523.207	0.028	-	-0.000	0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1111101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
