ZoneName	Time	SystemTime	Frame	Velocity	LaneName	LanePos	LaneIndex	LaneCount	LaneHeading	SpeedLimit	Steer	Accel	Brake	Gear	Horn	SubjectEngineRPM	SubjectHeading	SubjectPitch	SubjectRoll	SubjectX	SubjectY	SubjectZ	Signal	LatAccel	LongAccel	Collision	CollisionAngle	CollisionVelocity	VehAhead	HeadwayTime	HeadwayDist	TTC	TerrainType	CultureType	Slip	DigitalInputs	DigitalInputs2	ActiveTrigger	EntityName	DistToEntity	TimeToEntity	EntityVelocity	EntityAccel	EntityHeading	EntityX	EntityY	EntityZ	GrabData	
Unknown	0.98335	01/14/0117 10:14.41	00000059	0.002	Inter625t13-0	-0.088	1	2	0.000	11.111	1.6	0.000	0.000	D	F	0.0	0.001	0.153	-0.001	1503.500	523.206	0.019	-	-0.000	0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	1.98337	01/14/0117 10:14.42	00000119	0.000	Inter625t13-0	-0.088	1	2	0.000	11.111	2.1	0.000	0.000	D	F	0.0	0.000	0.197	-0.000	1503.500	523.208	0.026	-	0.000	-0.001	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	2.98339	01/14/0117 10:14.43	00000179	-0.000	Inter625t13-0	-0.088	1	2	0.000	11.111	1.9	0.000	0.000	D	F	0.0	0.000	0.207	-0.000	1503.500	523.208	0.028	-	0.000	-0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	3.98341	01/14/0117 10:14.44	00000239	-0.000	Inter625t13-0	-0.088	1	2	0.000	11.111	1.8	0.000	0.000	D	F	0.0	0.000	0.210	-0.000	1503.500	523.208	0.028	-	0.000	-0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	4.98343	01/14/0117 10:14.45	00000299	0.000	Inter625t13-0	-0.088	1	2	0.000	11.111	1.7	0.000	0.000	D	F	155.6	0.000	0.209	-0.000	1503.500	523.208	0.028	-	0.000	0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000011111	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	5.98345	01/14/0117 10:14.46	00000359	0.005	Inter625t13-0	-0.088	1	2	0.000	11.111	1.7	0.000	0.000	D	F	488.9	0.000	0.208	0.000	1503.500	523.209	0.027	-	0.000	0.018	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	6.98347	01/14/0117 10:14.47	00000419	0.048	Inter625t13-0	-0.088	1	2	0.000	11.111	2.2	0.016	0.000	D	F	477.5	0.001	0.202	0.000	1503.500	523.226	0.025	-	0.000	0.115	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	7.98349	01/14/0117 10:14.48	00000479	1.177	Inter625t13-0	-0.087	1	2	0.000	11.111	3.7	0.055	0.000	D	F	942.3	0.039	0.190	-0.000	1503.501	523.679	0.019	-	0.004	1.206	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	8.98351	01/14/0117 10:14.49	00000539	2.709	Inter625t13-0	-0.079	1	2	0.000	11.111	2.4	0.086	0.000	D	F	1245.8	0.184	0.215	0.001	1503.509	525.614	0.019	-	0.003	1.461	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1111101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	9.98353	01/14/0117 10:14.50	00000599	4.407	Inter625t13-0	-0.056	1	2	0.000	11.111	3.2	0.157	0.000	D	F	1645.6	0.405	0.225	-0.002	1503.532	529.144	0.018	-	0.022	1.851	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	10.98355	01/14/0117 10:14.51	00000659	6.329	Inter625t49-0	0.000	1	1	0.005	11.111	-1.0	0.182	0.000	D	F	1865.8	0.596	0.223	0.004	1503.588	534.535	0.018	-	-0.017	1.858	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	11.98357	01/14/0117 10:14.52	00000719	7.717	Inter625t49-0	0.077	1	1	0.007	11.111	1.0	0.182	0.000	D	F	1709.4	0.683	0.212	-0.002	1503.666	541.601	0.020	-	0.020	1.202	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	12.98359	01/14/0117 10:14.53	00000779	8.809	Inter625t49-0	0.189	1	1	0.008	11.111	1.0	0.162	0.000	D	F	1739.7	0.839	0.208	-0.003	1503.779	549.880	0.022	-	0.024	0.933	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	13.98361	01/14/0117 10:14.54	00000839	9.357	Inter625t49-0	0.335	1	1	0.006	11.111	-0.4	0.116	0.000	D	F	1661.0	0.978	0.203	0.002	1503.926	558.977	0.024	-	-0.006	0.434	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	14.98363	01/14/0117 10:14.55	00000899	9.739	Inter625t49-0	0.489	1	1	0.005	11.111	-1.3	0.115	0.000	D	F	1694.8	0.875	0.204	0.005	1504.081	568.528	0.025	-	-0.035	0.372	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	15.98365	01/14/0117 10:14.56	00000959	10.118	Inter625t49-0	0.624	1	1	0.005	11.111	-0.7	0.118	0.000	D	F	1465.9	0.726	0.203	0.003	1504.217	578.461	0.025	-	-0.021	0.348	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	16.98367	01/14/0117 10:14.57	00001019	10.487	Inter625t15-0	0.743	1	2	0.000	11.111	-0.6	0.139	0.000	D	F	1520.4	0.615	0.204	0.003	1504.336	588.756	0.024	-	-0.020	0.413	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	17.98369	01/14/0117 10:14.58	00001079	10.892	Inter625t15-0	0.847	1	2	0.000	11.111	-0.6	0.141	0.000	D	F	1543.7	0.502	0.203	0.003	1504.440	599.446	0.025	-	-0.022	0.401	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	18.98371	01/14/0117 10:14.59	00001139	11.374	Inter614t1-0	0.932	1	2	0.000	11.111	-0.6	0.171	0.000	D	F	1652.3	0.383	0.205	0.003	1504.525	610.565	0.024	-	-0.024	0.567	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	19.98373	01/14/0117 10:15.00	00001199	11.930	Inter614t1-0	0.998	1	2	0.000	11.111	-0.5	0.164	0.000	D	F	1666.6	0.274	0.203	0.003	1504.592	622.221	0.024	-	-0.020	0.522	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	20.98375	01/14/0117 10:15.01	00001259	12.411	Inter614t1-0	1.046	1	2	0.000	11.111	-0.4	0.162	0.000	D	F	1677.8	0.177	0.202	0.003	1504.640	634.396	0.024	-	-0.020	0.453	-	-	-	12	10.546	130.881	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	21.98377	01/14/0117 10:15.03	00001319	12.843	Inter614t1-0	1.089	1	2	0.000	11.111	0.9	0.160	0.000	D	F	1684.9	0.260	0.201	-0.005	1504.682	647.027	0.025	-	0.041	0.396	-	-	-	12	10.600	136.128	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	22.98379	01/14/0117 10:15.04	00001379	13.231	Inter614t1-0	1.170	1	2	0.000	11.111	-0.3	0.162	0.000	D	F	1705.8	0.456	0.201	-0.002	1504.763	660.066	0.025	-	0.013	0.379	-	-	-	12	10.654	140.971	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	23.98381	01/14/0117 10:15.05	00001439	13.623	Inter614t1-0	1.260	1	2	0.000	11.111	-1.3	0.171	0.000	D	F	1751.3	0.296	0.201	0.007	1504.853	673.488	0.025	-	-0.053	0.415	-	-	-	12	10.675	145.425	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	24.98383	01/14/0117 10:15.06	00001499	14.020	Inter614t1-0	1.300	1	2	0.000	11.111	-2.6	0.169	0.000	D	F	1765.4	0.009	0.200	0.016	1504.893	687.312	0.025	-	-0.106	0.382	-	-	-	12	10.659	149.448	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	25.98385	01/14/0117 10:15.07	00001559	14.371	Inter614t1-0	1.263	1	2	0.000	11.111	-0.4	0.157	0.000	D	F	1745.8	359.755	0.197	0.003	1504.856	701.516	0.025	-	-0.023	0.286	-	-	-	12	10.874	156.269	-	PAVEMENT_GENERAL	Urban	F	1011101000011101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
